Sampling,date,month,year,state,station,replicate,dissolve oxygen,Light (µmol),Temperature(⁰C),Salinity,Chl a (mg/L),Nitrate (mg/L),Nitrite  (mg/L),Phosphate  (mg/L),Silica  (mg/L),Ammonia  (mg/L),effective Fv/Fm,"Max Fv/Fm - in situ health - highervalue higher health, 0.3 - 0.7 for phytoplankton",alpha,rETRMAX,eK Value,Protoperidium sp,Dinophysis caudata,Dinophysis miles,Ceratium fusus,Tripos delinatus,Tripos deflexus,Tripos furca,Thalassionema nizchioides,Thalassionema frauenfeldii,Pleurosigma sp,Bacteriastrum hyalinum,Bacteriastrum delicatulum,Rhizosolenia crassispina,Coscinodiscus radiatus,Eucampia zodiacus,Skeletonema costatum,Dactyliosolen phuketensis,lauderia annulata,Odontella sinensis,Odontella mobiliensis,Pseudo-nitzschia fraudulenta,Ditylum brighwellii,Ditylum sol,Chaetoceros lorenzianum,Chaetoceros denticulatus ,Chaetoceros decipiens,Chaetoceros curvisetus ,Chaetoceros lauderii,Chaetoceros similis,"Chaetoceros contortus
",chroococcus sp,guinardia flaccida,Thalasirosira sp,Proboscia indica,ornithocercus sp,Noctiluca scintillans,Bellerocha horologicalis,Triceratium scitulum 
1,3,november,2015,Penang,1 (jeti Cemacs),1,5.88,536.5,31.9,31,1.514,0.108,0.006,0.0164,0.949,0.003,0.411,0.297,0.074,19.365,261.6891892,3,3,0,1,0,0,0,15,0,0,0,0,4,10,14,18,28,73,4,0,3,4,2,0,0,64,0,10,0,0,30,0,14,0,0,0,0,0
1,3,november,2015,Penang,1 (jeti Cemacs),2,6.2,581.4,31.8,33,,0.158,0.000,0.0487,1.576,0.011,0.307,0.304,0,0,NA,20,4,0,1,0,0,6,5,6,2,1,5,11,14,2,14,19,166,3,0,8,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
1,3,november,2015,penang,1 (jeti Cemacs),3,6.04,607.6,31.9,28,,0.156,0.002,0.0360,1.263,0.007,0.377,0.000,0,0,NA,13,6,0,0,0,0,3,4,29,2,0,0,2,5,7,7,39,0,1,4,2,5,6,0,0,0,0,0,0,0,25,20,7,5,0,0,108,0
1,3,november,2015,kedah,2 (kuala muda),1,6.4,1910,31.3,31,0.146,0.098,0.003,0.0158,0.752,0.001,0.144,0.267,0.112,12.659,113.0267857,1,0,0,0,0,0,0,54,0,0,4,0,18,0,0,18,0,16,6,0,6,19,27,26,0,51,0,54,0,0,0,0,0,0,0,0,0,0
1,3,november,2015,kedah,2 (kuala muda),2,6.42,1982.5,31.4,33,,0.112,0.003,0.0297,1.359,0.001,0.170,0.357,0.083,14.103,169.9156627,2,0,0,0,0,0,0,45,16,1,5,8,10,3,2,30,3,21,2,0,22,14,6,63,3,28,0,16,0,0,0,0,0,0,0,0,0,0
1,3,november,2015,kedah,2 (kuala muda),3,6.42,1913.9,31.4,28,,0.122,0.005,0.0354,0.358,0.001,0.130,0.341,0.073,12.602,172.630137,1,0,0,0,0,0,0,17,60,2,8,22,4,0,16,0,7,21,0,0,7,14,10,0,6,25,0,0,0,0,59,2,4,11,0,0,4,0
1,3,november,2015,kedah,3 (P. Bidan),1,5.8,2175,32.4,30,8.943,0.031,0.043,0.0177,1.114,0.000,0.148,0.269,0.085,12.244,144.0470588,14,1,0,1,0,0,0,43,0,4,1,2,13,13,4,40,8,0,16,0,15,23,16,0,1,52,0,33,0,0,0,0,0,0,0,0,0,0
1,3,november,2015,kedah,3 (P. Bidan),2,5.74,2153,31.6,28,,0.101,0.014,0.0354,0.718,0.001,0.150,0.355,0.093,18.683,200.8924731,19,3,0,0,0,0,4,53,57,5,0,0,9,9,0,17,4,15,23,0,12,14,8,0,0,37,0,11,0,0,0,0,0,0,0,0,0,0
1,3,november,2015,kedah,3 (P. Bidan),3,5.63,2147,32.6,31,,0.101,0.030,0.0373,0.546,0.001,0.141,0.375,0.065,19.245,296.0769231,10,1,0,0,0,0,3,35,33,2,1,0,3,2,7,84,0,2,16,1,6,25,13,0,3,27,0,0,0,0,0,0,0,6,0,0,20,0
1,3,november,2015,kedah,4 (tukun terendak),1,5.17,811,30.5,31,2.889,0.220,0.004,0.0209,0.641,0.000,0.204,0.265,0.074,13.15,177.7027027,5,8,6,3,3,0,5,60,0,3,0,2,1,7,0,12,0,19,0,0,4,76,31,7,0,13,0,32,0,0,0,0,3,0,0,0,0,0
1,3,november,2015,kedah,4 (tukun terendak),2,5.17,0.000,0.000,31,,0.100,0.005,0.0291,1.362,0.000,0.19,0.332,0.066,16.513,250.1969697,2,1,0,1,0,0,1,0,24,0,0,8,2,1,0,20,13,73,2,0,10,0,68,61,0,13,0,0,0,0,0,0,0,0,0,0,0,0
1,3,november,2015,kedah,4 (tukun terendak),3,5.17,0.000,0.000,31,,0.382,0.006,0.0291,0.861,0.000,0.09,0.459,0.105,17.28,164.5714286,2,8,4,3,2,2,2,13,39,0,2,14,3,23,3,4,0,21,2,2,3,21,38,0,2,20,0,0,0,0,40,0,0,1,0,3,23,0
1,3,november,2015,kedah,5 Surface (P. Songsong),1,4.88,1236.7,30.1,30,2.657,0.394,0.010,0.0202,1.367,0.000,0.367,0.497,0.092,22.547,245.076087,0,1,3,2,4,0,2,38,12,1,0,0,0,17,0,48,0,38,8,0,0,35,20,0,0,5,36,26,0,0,0,0,0,0,0,0,0,4
1,3,november,2015,kedah,5 Surface (P. Songsong),2,4.89,1236.7,30.1,28,,0.115,0.006,0.0341,1.448,0.000,0.177,0.452,0.133,18.04,135.6390977,0,1,0,0,2,0,4,14,31,0,1,8,0,1,0,10,0,66,11,0,17,3,38,45,20,18,0,0,0,0,0,0,5,0,0,4,0,1
1,3,november,2015,kedah,5 Surface (P. Songsong),3,4.88,1236.7,30.1,31,,0.039,0.006,0.0291,0.849,0.000,0.293,0.469,0.101,12.043,119.2376238,3,3,2,1,1,0,1,16,8,2,8,0,1,8,0,13,0,24,2,1,0,47,0,153,0,4,0,0,0,0,0,0,0,0,0,0,2,0
2,5,December,2015,Penang,1 (jeti Cemacs),1,5.04,161.34,30.8,30,4.786,0.082,0.000,0.030,0.659,0.004,0.453,0.481,0.168,8.677,51.64880952,8,35,0,0,3,0,5,22,26,1,21,0,3,10,0,0,8,35,2,0,1,0,9,0,0,12,0,0,0,0,0,3,0,0,0,0,96,0
2,5,December,2015,Penang,1 (jeti Cemacs),2,4.9,198.45,30.9,30,3.428,0.410,0.001,0.015,0.677,0.002,0.456,0.257,0.082,7.283,88.81707317,10,22,0,4,0,0,0,21,40,0,0,9,7,15,0,0,9,18,0,0,0,0,15,11,0,3,0,6,0,0,0,0,72,0,0,1,36,1
2,5,December,2015,penang,1 (jeti Cemacs),3,5.26,221.4,30.8,30,1.224,0.045,0.000,0.031,0.670,0.007,0.386,0.349,0.093,7.385,79.40860215,21,34,0,0,1,0,7,14,47,1,3,0,1,9,0,0,0,11,3,0,0,0,6,0,0,1,0,0,0,0,67,2,63,0,0,0,9,0
2,5,December,2015,kedah,2 (kuala muda),1,6.27,336.8,30.8,26,0.795,0.088,0.009,0.025,0.759,0.026,0.034,0.308,0.139,8.653,62.25179856,4,2,0,1,4,0,10,0,41,1,77,0,5,0,0,0,0,28,0,0,0,0,0,0,0,69,0,30,28,0,0,0,0,0,0,0,0,0
2,5,December,2015,kedah,2 (kuala muda),2,6.27,334.9,30.9,28,0.801,0.091,0.003,0.007,0.851,0.030,0.009,0.263,0.091,5.092,55.95604396,3,5,0,2,4,0,5,0,53,0,7,36,19,0,0,0,19,30,0,0,6,0,3,0,14,43,0,7,0,0,0,33,3,0,0,8,0,0
2,5,December,2015,kedah,2 (kuala muda),3,6.29,329.7,30.9,28,0.006,0.045,0.000,0.027,0.680,0.000,0.242,0.342,0.098,13.497,137.7244898,9,0,0,0,0,0,0,0,8,0,38,43,15,5,0,0,6,13,0,0,2,3,4,0,52,65,0,0,0,0,0,25,0,6,0,1,5,0
2,5,December,2015,kedah,3 (P. Bidan),1,7.66,329.7,31.1,23,1.270,0.124,0.003,0.008,0.540,0.040,0.249,0.232,0.093,6.14,66.02150538,0,0,0,1,0,0,3,0,0,0,7,0,25,1,0,0,16,119,7,0,4,0,11,0,1,97,0,0,8,0,0,0,0,0,0,0,0,0
2,5,December,2015,kedah,3 (P. Bidan),2,7.66,327.4,31.1,25,1.160,0.052,0.004,0.006,0.436,0.031,0.256,0.319,0.096,11.903,123.9895833,3,9,0,0,2,0,3,8,17,0,83,12,14,1,0,0,0,46,3,0,0,7,0,3,20,50,8,0,0,3,0,3,0,0,0,5,0,0
2,5,December,2015,kedah,3 (P. Bidan),3,7.67,316.8,31.1,23,0.464,0.047,0.002,0.011,0.488,0.028,0.282,0.330,0.152,8.533,56.13815789,3,7,0,1,1,0,8,0,8,0,30,23,1,2,0,0,0,68,1,0,0,1,0,0,4,83,6,0,0,0,0,31,0,18,0,4,0,0
2,5,December,2015,kedah,4 (tukun terendak),1,6.54,770.5,30.8,25,0.406,0.070,0.000,0.045,0.479,0.016,0.051,0.423,2.247,9.286,4.132621273,25,14,0,6,6,0,26,0,7,1,73,9,8,7,0,0,0,29,2,0,0,0,0,0,0,20,0,0,46,0,0,21,0,0,0,0,0,0
2,5,December,2015,kedah,4 (tukun terendak),2,6.53,618.5,30.8,27,0.047,0.052,0.000,0.018,0.483,0.069,0.146,0.366,0.084,9.456,112.5714286,16,12,0,13,13,0,49,0,0,0,49,55,6,0,0,0,0,25,2,0,2,0,0,0,0,0,0,0,0,0,29,18,0,0,0,11,0,0
2,5,December,2015,kedah,4 (tukun terendak),3,6.53,659.6,30.8,25,0.442,0.027,0.000,0.090,0.452,0.021,0.226,0.245,0.057,5.278,92.59649123,18,13,0,0,6,1,17,0,0,0,87,26,2,7,0,0,0,11,2,0,0,0,0,18,6,16,0,0,14,0,0,13,0,3,0,40,0,0
2,5,December,2015,kedah,5 Surface (P. Songsong),1,5.84,1388,31,28,7.364,0.079,0.000,0.016,0.484,0.008,0.353,0.363,0.065,8.089,124.4461538,16,8,2,1,15,0,70,0,0,0,70,27,12,3,0,0,0,29,1,0,6,0,0,0,0,12,0,0,6,0,0,22,0,0,0,0,0,0
2,5,December,2015,kedah,5 Surface (P. Songsong),2,5.93,1354.5,30.9,27,6.283,0.044,0.001,0.015,0.682,0.009,0.253,0.179,0.111,8.552,77.04504505,11,11,5,4,25,0,167,0,4,0,3,0,4,9,0,0,0,3,1,0,0,0,0,0,0,4,0,0,0,0,0,20,0,0,0,29,0,0
2,5,December,2015,kedah,5 Surface (P. Songsong),3,5.93,1383.3,31,30,0.000,0.049,0.000,0.016,0.583,0.009,0.122,0.32,0.121,9.722,80.34710744,18,4,2,2,8,2,90,0,0,0,1,26,9,5,0,0,0,16,2,0,0,0,2,5,0,14,0,0,0,0,0,28,0,5,0,61,0,0
3,16,February,2016,Penang,1 (jeti Cemacs),1,9.27,2402,31.8,31,1.444,0.128,0.003,0.005,0.627,0.000,0.18,0.048,0.019,0.747,39.31578947,3,0,0,0,0,0,0,0,4,0,0,0,12,152,2,0,14,29,4,0,5,0,1,0,0,0,0,0,40,0,14,10,0,8,2,0,0,0
3,16,February,2016,Penang,1 (jeti Cemacs),2,9.41,2254,31.8,30,2.036,0.084,0.003,0.008,1.016,0.001,0.231,0.083,0.007,0.336,48,9,1,0,26,11,0,6,0,14,2,20,0,7,94,5,0,12,55,9,0,16,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
3,16,February,2016,Penang,1 (jeti Cemacs),3,4.35,2287,31.8,30,0.069,0.127,0.005,0.008,1.454,0.003,0.145,0.000,0.015,1.49,99.33333333,4,3,0,1,2,7,1,0,2,1,0,10,12,179,6,0,1,39,1,0,0,0,0,0,0,0,0,0,0,0,0,8,12,11,0,0,0,0
3,16,February,2016,Penang,2 (kuala muda),1,7.05,2828,31.1,29,1.972,0.084,0.006,0.007,0.918,0.009,0.019,0.014,0.011,1.724,156.7272727,11,1,0,4,3,0,2,0,0,0,9,23,14,9,2,0,12,69,1,0,15,0,1,0,0,6,0,0,21,0,76,6,0,15,0,0,0,0
3,16,February,2016,Penang,2 (kuala muda),2,7.12,2700,31.1,29,1.276,0.029,0.005,0.009,0.946,0.005,0.005,0.030,0.005,0.833,166.6,11,2,0,7,11,0,6,0,5,0,19,0,38,34,8,0,12,103,8,2,1,0,3,0,0,6,0,0,0,0,0,16,0,0,0,8,0,0
3,16,February,2016,Penang,2 (kuala muda),3,7.14,2688,31.1,30,1.450,0.040,0.002,0.008,0.979,0.004,0.030,0.014,0.014,2.224,158.8571429,14,0,0,4,1,6,5,8,19,1,6,7,16,48,0,4,8,63,10,4,4,2,3,0,0,15,0,0,0,0,0,7,7,34,0,4,0,0
3,16,February,2016,kedah,3 (P. Bidan),1,7.77,3234,31.1,31,4.281,0.065,0.001,0.013,0.926,0.009,0.044,0.000,0.019,0.513,27,0,60,0,4,0,0,4,0,5,*,1,0,12,90,0,0,8,71,4,0,5,0,3,0,0,2,0,0,0,0,22,2,0,7,0,0,0,0
3,16,February,2016,kedah,3 (P. Bidan),2,7.82,3164,31.2,31,4.228,0.085,0.004,0.019,1.618,0.006,0.042,0.041,0.161,0.98,6.086956522,3,4,0,2,2,0,4,0,2,2,8,0,14,81,0,0,0,161,1,0,0,5,0,0,0,0,0,0,2,0,0,7,0,0,0,2,0,0
3,16,February,2016,kedah,3 (P. Bidan),3,7.82,3173,31.2,31,2.881,0.053,0.002,0.008,0.531,0.025,0.019,0.017,0.015,2.533,168.8666667,1,36,1,2,0,0,4,0,0,0,0,0,0,222,0,0,2,17,2,0,0,0,3,0,0,0,0,0,0,0,0,3,2,4,0,1,0,0
3,16,February,2016,kedah,4 (tukun terendak),1,6.79,1069.2,30.3,32,2.848,0.093,0.002,0.008,0.484,0.007,0.072,0,0.028,4.742,169.3571429,3,0,0,2,2,0,0,0,0,0,0,0,30,3,26,0,8,166,6,0,4,1,3,0,0,6,0,0,0,0,22,4,0,14,0,0,0,0
3,16,February,2016,kedah,4 (tukun terendak),2,6.66,1174.2,30.4,32,1.920,0.041,0.005,0.016,1.548,0.010,0.086,0.121,0.006,2.726,454.3333333,12,3,0,3,3,0,11,0,11,3,0,0,32,16,0,0,27,157,11,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,5,0,0
3,16,February,2016,kedah,4 (tukun terendak),3,6.72,1029.5,30.4,32,1.630,0.088,0.005,0.014,1.230,0.003,0.077,0.139,0.02,5.091,254.55,4,0,0,2,2,2,6,0,3,0,1,0,25,27,0,0,25,150,14,0,0,3,2,0,0,0,0,0,0,0,0,11,1,22,0,0,0,0
3,16,February,2016,kedah,5 Surface (P. Songsong),1,6.6,1044.5,30.1,31,4.640,0.081,0.008,0.023,0.806,0.002,0.084,0.088,0.034,5.161,151.7941176,2,2,0,3,0,0,6,0,0,4,0,0,3,169,0,0,3,11,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,4,0,0,86,0
3,16,February,2016,kedah,5 Surface (P. Songsong),2,6.66,1047.6,30.2,31,3.764,0.051,0.009,0.013,0.391,0.002,0.155,0.054,0.021,3.889,185.1904762,0,3,0,5,0,0,0,0,0,2,0,0,0,157,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0
3,16,February,2016,kedah,5 Surface (P. Songsong),3,6.69,1008.9,30.2,30,4.578,0.033,0.008,0.013,1.079,0.002,0.111,0.014,0.026,3.986,153.3076923,1,1,0,1,7,0,0,0,0,4,0,0,1,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,152,0